title,url,area,in_practice_engine
Ida Red: Old-time Reel to Irish Jig!,https://fiddlehed.com/courses/irish-fiddle-lessons/ida-red-old-time-reel-to-irish-jig/,Irish course,no
If I Were A Rich Man,https://fiddlehed.com/courses/intermediate-fiddle-lessons/2-6-low-fourth-finger-i-iv-v/if-i-were-a-rich-man/,Intermediate course (Modules 11-19),no
Irish Washerwoman,https://fiddlehed.com/courses/intermediate-fiddle-lessons/2-5-soldiering-on/irish-washerwoman/,Intermediate course (Modules 11-19),yes
It Came Upon A Midnight Clear,https://fiddlehed.com/community/group-lesson-home-page/it-came-upon-a-midnight-clear-workshop/,Community / workshop lessons,no
J'etais Au Bal,https://fiddlehed.com/courses/intermediate-fiddle-lessons/2-8-raised-third-finger/jetais-au-bal/,Intermediate course (Modules 11-19),no
Jarabe Tapatio (Mexican Hat Dance),https://wp.me/P8OLq8-aJo,wp.me shortlink (resolve),no
Jenny Lynn – Basic,https://fiddlehed.com/courses/old-time-appalachian-fiddle-lessons/jenny-lynn/,Old-Time / Appalachian course,no
Jenny Lynn – Variation,https://fiddlehed.com/courses/old-time-appalachian-fiddle-lessons/jenny-lynn-variation/,Old-Time / Appalachian course,no
Jerusalem Ridge Part 1,https://fiddlehed.com/courses/intermediate-fiddle-lessons/2-5-soldiering-on/jeruselem-ridge-part-1/,Intermediate course (Modules 11-19),no
Jerusalem Ridge Part 2,https://fiddlehed.com/courses/intermediate-fiddle-lessons/2-5-soldiering-on/jerusalem-ridge-part-2/,Intermediate course (Modules 11-19),no
John Ryan's Polka,https://fiddlehed.com/courses/beginner-fiddle-lessons/1-9-trying-triads/john-ryans-polka/,Beginner course (Modules 1-10),no
Joy To The World,https://fiddlehed.com/courses/beginner-fiddle-lessons/1-6-living-in-the-ear-now/joy-to-the-world/,Beginner course (Modules 1-10),yes
Keep On The Sunny Side,https://fiddlehed.com/courses/beginner-fiddle-lessons/1-8-the-high-and-low-second-finger/keep-on-the-sunny-side/,Beginner course (Modules 1-10),no
Kentucky Waltz,https://fiddlehed.com/courses/intermediate-fiddle-lessons/2-8-raised-third-finger/kentucky-waltz/,Intermediate course (Modules 11-19),no
Kerfunken Jig – Basic,https://fiddlehed.com/courses/beginner-fiddle-lessons/1-4-more-scales-more-tunes-more-fun-more-or-less/kerfunken-jig/,Beginner course (Modules 1-10),yes
Kerfunken Jig – Cuts Variation,https://fiddlehed.com/courses/irish-fiddle-lessons/kerfunken-cuts-variation/,Irish course,no
Kerfunken Jig – Rolls Variation,https://fiddlehed.com/courses/irish-fiddle-lessons/kerfunken-rolls-variation/,Irish course,no
Kerry Polka – Basic,https://fiddlehed.com/courses/beginner-fiddle-lessons/1-4-more-scales-more-tunes-more-fun-more-or-less/kerry-polka/,Beginner course (Modules 1-10),yes
Kerry Polka – Sawmill Tuning,https://fiddlehed.com/courses/old-time-appalachian-fiddle-lessons/kerry-polka-sawmill-tuning/,Old-Time / Appalachian course,no
Kerry Polka – Variation,https://fiddlehed.com/courses/irish-fiddle-lessons/kerry-polka-variation/,Irish course,no
Kesh Jig – Adding Double Stops,https://fiddlehed.com/courses/intermediate-fiddle-lessons/2-7-adding-double-stops-to-tunes/kesh-jig-adding-double-stops/,Intermediate course (Modules 11-19),yes
